m,y,locality,seg_phos,seg_psize,seg_pet,seg_mat,seg_decs,US_RockPhos,USCalcium,native.bio,exotic.bio
2.0,2009,Avalanche Creek,3.0,4.0,583.62,55.98,2217.81,3.0,1.0,0,1
2.0,2009,Bealey River tributary,3.0,4.0,830.0,83.0,0.0,3.0,1.0,2,0
6.0,2009,Hanmer River,2.29,1.96,1171.66,102.9,2367.98,2.282,1.052,2,0
6.0,2009,Hanmer River,2.42,2.53,1184.01,104.1,2368.68,2.081,0.983,3,1
6.0,2009,Percival River,4.0,3.0,1162.93,102.35,2370.0,3.748,1.748,2,0
6.0,2009,Dog Stream,3.4,3.6,1155.21,101.02,2369.74,3.035,1.035,0,0
6.0,2009,Rogerson River,3.04,3.96,1156.62,98.55,2368.88,3.016,1.016,2,0
6.0,2009,Chatterton River,3.91,3.09,1172.73,103.68,2370.88,3.227,1.227,2,0
6.0,2009,Boyle River,3.87,3.07,1091.75,90.3,2329.83,3.888,1.595,2,1
6.0,2009,Boyle River,3.87,3.07,1091.75,90.3,2329.83,3.888,1.595,1,1
6.0,2009,Boyle River,1.96,2.12,1098.58,90.53,2329.39,3.154,1.057,3,1
6.0,2009,Cust River tributary,3.7,1.0,1147.03,116.55,2302.88,3.287,2.0,2,0
6.0,2009,Cust River tributary,4.0,1.0,1155.39,117.0,2303.59,4.0,2.0,2,0
6.0,2009,Cust River tributary,4.0,1.0,1155.39,117.0,2303.59,4.0,2.0,2,0
6.0,2009,Greyneys Creek,2.99,3.98,790.32,61.54,2253.24,2.968,0.989,0,0
6.0,2009,Bealey River,0.0,0.0,1016.0,88.0,2273.0,0.0,0.0,0,0
6.0,2009,Halpin Creek,2.21,2.95,942.0,83.11,2262.12,2.681,0.894,1,0
6.0,2009,Bealey River,2.91,3.88,858.32,73.95,2255.26,2.838,0.946,1,0
6.0,2009,Waimakariri River,0.0,0.0,1032.0,88.0,0.0,2.475,1.04,0,0
6.0,2009,Waimakariri River,1.67,1.25,1078.18,89.08,2285.71,2.475,1.097,2,1
9.0,2009,Waitohi River,3.16,2.93,1194.3,101.08,2348.12,3.007,1.075,2,0
9.0,2009,Waitohi River,2.03,1.47,1205.84,103.66,2350.8,2.112,1.128,2,0
9.0,2009,Bullock Stream,3.53,3.47,1122.31,80.78,2361.05,3.633,1.0,1,0
9.0,2009,Edwards River,3.65,3.35,1122.59,81.76,2359.21,3.203,1.0,2,0
9.0,2009,Waitohi River,1.54,1.15,1222.0,106.0,2353.0,2.662,1.331,2,0
3.0,2009,Glenrae River,2.85,3.8,1162.28,96.26,2346.62,2.999,1.0,2,0
3.0,2009,Glenrae River,2.47,3.3,1151.93,94.03,2344.2,2.992,0.997,2,1
3.0,2009,Glenrae River,2.22,2.97,1155.63,94.5,2346.04,2.404,0.801,2,1
6.0,2010,Upper Twin Creek,3.0,4.0,624.36,69.66,2214.83,3.0,1.0,0,0
6.0,2010,Dry Stream tributary,3.0,4.0,1160.81,95.02,2352.05,3.0,1.0,2,0
6.0,2010,Dry Stream tributary,3.04,2.11,1189.61,100.78,2355.43,3.037,1.315,2,0
