y,locality,seg_phos,seg_psize,seg_pet,seg_mat,seg_decs,US_RockPhos,USCalcium,native.bio,exotic.bio,fdval
2011,Old Mining Pond,3,4,699.79,60.98,2158.7,3,2,0,0,0.001
2011,Deep Creek,3,4,696.32,56.745,2167.995,3,2,0,0,236.2165
2011,Ailsa Creek,3,4,728.76,57.61,2177.66,3,2,0,1,0.001
2011,Elbow Creek,3,4,736.96,59.35,2175.88,3,2,0,1,301.4654
2011,Unnamed Tributary,3,4,710.63,57.67,2170.5,3,2,0,1,95.9231
2011,South Ashburton River,3.15,2.36,1161.28,88.08,2304.06,3.257,0.969,3,0,262.8692
2011,Opuha River,3.07,1.62,967.86,98.75,2214.1,3.36,1.58,1,0,0.001
2011,Omarama Stream,4,1.44,1168.83,94,2305.37,3.996,1.794,1,2,81.963
2011,Clutha River,2.36,2.36,1230.05,105.75,2318.91,2.848,1.915,1,1,971.2211
2011,Fraser River,3.11,2.55,1140.97,101.94,2310.75,3.072,2,0,1,125.1106
2011,Manuherikia River,2.6,1.5,1133.51,102,2309.02,3.007,1.95,1,0,596.5527
2011,Mararoa River,3,2,874.63,87.475,2207.88,3.208,2.4185,1,0.5,87.8711
2011,Waiau River,2.7133,2.11,873.2667,97.6633,2175.83,2.8073,2.2768,1.3333,0,77.7794
2011,Waitaki River,0.67,1.005,1047.735,104.99,2201.05,2.4145,1.6075,0.5,0,2114.5635
2011,Mary Burn,4,3,1200.1,87.88,2315.45,4,1.123,1,1,394.7662
2011,Orari River,2.97,3.6,931.33,97.23,2213.76,2.981,1.023,2,1,452.4724
2011,Rangitata River,2.61,1.9567,973.9467,104.0733,2215.8067,2.7043,1.371,1.6667,0.3333,94.7346
2011,Bowyers Stream,3.39,1.79,1076.33,100.8,2263.63,2.855,1.221,2,1,0.001
2011,Rakaia River,0,0,1188.945,110.5,2290.575,2.022,1.1095,1,0.5,34.6909
2011,Wairau River,3.21,3.62,969.64,90.72,2342.62,2.651,0.84,0,1,456.8258
2011,Buller River,2.05,2.76,926.85,93.04,2333.67,1.885,1.044,2,1,43.9271
2011,Clarence River,3.16,3.53,1109.12,78.61,2362.35,3.162,1.318,0,1,1023.0733
2011,Hurunui River,2.24,2.99,1160.74,95.72,2341,2.855,0.952,1,0,552.3493
2011,Hurunui River South Branch,2.94,3.4,1145.56,93.21,2337.65,3.002,0.919,1,0,256.6925
2011,Crystal Creek,3,1,817.7,80.925,2154.65,3,2,0,0,70.9131
2011,Boundary Creek,3.418,2.65,956.944,80.574,2218.61,3.1672,1.4096,0.4,0.8,55.9212
2011,Spec Gully,3.73,1.535,1025.8225,86.125,2236.7475,3.3538,1.996,1.25,0.75,657.2115
2011,Old Hut Creek,3.2733,1.01,982.0267,82.78,2227.0233,3.086,1.588,0.6667,0.3333,277.6736
2011,Mokoreta River tributary,3.61,2.16,768.3,93.44,2123.55,3.517,1.517,1,1,168.4414
2011,Aparima River tributary,2.95,1.97,949.29,95,2199.32,3.439,2.851,1,1,60.5609
2011,Robert Creek,3.19,2.66,1046.01,90.3,2260.36,3.063,1.158,0,0,180.1982
2011,Barbours Stream tributary,3,4,750.76,65.54,2164.02,3,2,0,0,266.7597
2011,Sutton Stream tributary,3,4,731.67,58.13,2177.09,3,2,0,0,553.5569
2011,Flat Creek,3,4,703.11,55.85,2173.03,3,2,0,0,267.7541
2011,Pigroot Creek,3,5,927.23,83.06,2197.38,3,1.109,0,1.5,248.9551
2011,Lindis River,2.56,3.16,1189.34,97.91,2303.21,2.982,2.034,1,1,39.8532
2011,Kidd Creek,3,3.21,1219.26,103.08,2317.01,3,2,1,0,435.4147
2011,Linn Burn,3,3.27,994.79,82.17,2239.33,3,2,1,1,237.2214
2011,Shingly Creek,3,5,943.81,87.93,2193.4,3.458,2.769,1,1,52.7683
2011,Whare Creek,3.33,4.83,925.93,86.33,2154.82,3.682,2.111,0,0,0.001
2011,Meggat Burn tributary,3,4,782.02,78.9,2150.02,3,2,1,0.5,165.3537
2011,Akatore Creek tributary,2.37,4,849.75,94.34,2133.525,1.9785,1.2025,1.5,1,405.9751
2011,Three O'clock Stream,3,4,934.61,90.43,2168.25,3,2,0,2,83.8878
2011,Three O'clock Stream tributary,3,4,859.5,77.46,2165.57,3,2,0,0,368.3591
2011,Canton Stream,3,3.7,848.43,78.36,2168.71,3,2,1,0,799.7861
2011,Valley Creek,3,1.89,899.17,82.13,2190.51,3,2,1,0,0.001
2011,Raupare Stream,2,1,1283.44,136,2369.82,1.995,2.499,5,0,680.0733
2011,Acheron River,3.9,2.8,1229.39,102.7,2314.7,3.986,1.014,1,0,200.0447
2011,Aparima River,2.595,1.54,882.135,99.06,2164.015,2.957,2.1885,1,0,370.4186
2011,Holmes Creek,3,1,1183.68,121.94,2251.75,4.276,2,1,0,0.001
2011,Kakanui River,3.59,1.75,1007.99,106.96,2177.74,3.7,1.722,1,0,144.8899
2011,Opihi River,2.26,0.84,973.02,108.25,2198.9,2.038,1.12,1,0,236.4333
2011,Purau Stream,3.23,1.92,1177.07,120.04,2253.86,3.296,1.704,1,0,95.9231
2011,South Branch Ashburton River,0.15,0.11,1149.33,104.63,2272.14,2.841,1.52,1,0,131.8177
2011,Te Kawa Stream,3.03,1.07,1130.29,119.57,2240.38,3.065,2,1,0,222.4261
2011,Temuka River,3.2,2.4,997.8,109,2202,3.293,1.979,1,0,450.6207
2011,Waihi River,2.98,0.97,953.28,108,2201,3.726,1.935,1,0,68.9308
2011,Waipori River tributary,3,1,796.04,77.32,2153.89,3,2,0,0,0.001
2011,Pierces Gorge,3.28,3.72,1000.67,74.59,2260.67,3.043,1,0.3333,1,53.8625
2011,Roaring Meg tributary,3,4,718.48,36.05,2249.85,3,2,0,0,113.9104
2011,No 2 Spec Gully,3.84,1.32,1014.77,83.41,2236.96,3.495,2,1,1,42.3514
2011,Brooklyn Stream,1.365,3.835,1167.205,121.74,2409.535,2.208,1.442,6,1,636.7812
2011,Burton Ale Creek,2,3,1011.29,126.77,2349.68,2,2,5,0,36.7833
2011,Company Ditch,2.26,2.37,1202.64,124.14,2412.09,2.546,1.773,6,0,16.1458
2011,Onekaka River,2.93,2.85,1026.97,128,2352,3.309,1.2,7,1,32.8809
2012,Awakino River Waihue Valley,1.49,1.53,1080.54,147.46,2341.88,1.318,1.318,2,0,15.2083
2012,Awakino River,1.53,1.53,1081.74,147.75,2341.96,1.187,1.188,1,0,36.4458
2012,Lake Rotopouua wetland,1,2,1047.13,144.81,2351.82,1,1,0,0,21.6958
2012,unnamed wetland,1,2,1065.53,147.63,2352,1,1,1,0,132.8283
2012,Unnamed lake,1,2,1064.6,147.49,2351.85,1,1,3,0,231.4067
2012,Lake Parawanui,1,2,1051.82,144.47,2342.96,1,1,3,0,283.3214
2012,Wai-iti River,3,2,1252.13,125,2399,3,2,5,0.6667,248.7075
2012,Graham River,1,3.86,1141.94,115.36,2400.74,1.116,1.598,1,0,471.7124
2012,Pokororo River,1,2.38,1186.5,122.62,0,1.003,1.236,0,1,257.7381
2012,Saxton Creek,2.056,3.016,1151.228,119.848,2391.912,2.0794,2.1356,4.8,0,381.0013
2012,Sow Burn,3,3.284,1014.862,83.942,2242.858,3,2.0042,0.2,1,636.4164
